Grupa ¿ywnoœci;Engelse naam/Food name;Nazwa angielska/Nazwa ¿ywnoœci;Iloœæ;jednostka;kalorycznoœæ (kcal);bia³ko (g);t³uszcz (g);wêglowodany (g)
Ziemniaki i bulwy;Potatoes raw;Ziemniaki surowe;100;g;88;2;0;19
Ziemniaki i bulwy;Potatoes new raw;Ziemniaki œwie¿e surowe;100;g;88;2;0;19
Ziemniaki i bulwy;Potatoes old raw;Ziemniaki stare surowe;100;g;88;2;0;19
Zbo¿a i produkty zbo¿owe;Pasta white raw;Makaron bia³y surowy;100;g;356;12,3;1,5;72
Zbo¿a i produkty zbo¿owe;Rice white raw;Ry¿ bia³y surowy;100;g;352;7;1;78
Warzywa;Endive raw;Endywia surowa;100;g;16;1,5;0,3;1
Warzywa;Endive boiled;Endywia gotowana;100;g;22;1,4;0,5;2,3
Warzywa;Asparagus white raw;Szparagi bia³e surowe;100;g;22;1;0,3;3
Warzywa;Aubergine/eggplant raw;Bak³a¿an surowy;100;g;20;1;0;3
Warzywa;Aubergine/eggplant boiled;Bak³a¿an gotowany;100;g;21;1;0;3
Warzywa;Beetroot raw;Surowe buraki;100;g;38;1,7;0,1;6
Warzywa;Celery boiled;Seler gotowany;100;g;14;1;0;2
Warzywa;Cauliflower raw;Surowy kalafior;100;g;25;1,9;0,2;3
Warzywa;Cauliflower boiled;Kalafior gotowany;100;g;22;1,8;0,4;1,8
Warzywa;Kale curly boiled;Jarmu¿ kêdzierzawy gotowany;100;g;33;2,7;1,3;1
Warzywa;Mushrooms chanterelle raw;Pieczarki kurki surowe;100;g;16;1,8;0;1
Warzywa;Mushrooms chanterelle boiled;Grzyby kurki gotowane;100;g;20;1,8;0;2
Warzywa;Mushroom raw;Grzyb surowy;100;g;18;2,3;0,5;0,4
Warzywa;Mushroom boiled;Grzyby gotowane;100;g;21;3,8;0,3;0,4
Warzywa;Cabbage Chinese raw;Kapusta chiñska surowa;100;g;17;1;0;2
Warzywa;Cabbage Chinese boiled;Kapusta po chiñsku gotowana;100;g;17;1;0;2
Warzywa;Peas raw;Groszek surowy;100;g;65;4;0;10
Warzywa;Cabbage green raw;Kapusta zielona surowa;100;g;36;2,4;0,2;4,1
Warzywa;Cabbage green boiled;Kapusta zielona gotowana;100;g;21;1,5;0,2;2,3
Warzywa;Celeriac boiled;Seler gotowany;100;g;38;2;0;5
Warzywa;Cucumber wo skin raw;Ogórek bez skórki surowy;100;g;15;0,6;0,2;2,5
Warzywa;Cucumber boiled;Ogórek gotowany;100;g;17;1;0;3
Warzywa;Swede boiled;Brukiew;100;g;33;0,7;0,1;5,8
Warzywa;Kohlrabi boiled;Kalarepa gotowana;100;g;31;2;0,3;4
Warzywa;Sweet pepper green raw;Papryka s³odka zielona surowa;100;g;19;0,8;0,1;2,5
Warzywa;Sweet pepper green boiled;Papryka s³odka zielona gotowana;100;g;17;0,6;0,2;2,3
Owoce;Raisins dried;Rodzynki suszone;100;g;325;3,1;0,5;71,7
Warzywa;Mange-tout raw;Surowy groszek cukrowy;100;g;33;2;0;5
Warzywa;Purslane boiled;Portulaka gotowana;100;g;13;1;0;1
Warzywa;Leek boiled;Por gotowany;100;g;22;1,1;0,5;2,1
Warzywa;Turnip tops raw;Surowe liœcie rzepy;100;g;17;2;0;1
Warzywa;Turnip tops boiled;Gotowane liœcie rzepy;100;g;17;2;0;1
Warzywa;Rhubarb raw;Rabarbar surowy;100;g;23;1;0;2
Warzywa;Cabbage red raw;Kapusta czerwona surowa;100;g;27;2;0;3
Warzywa;Cabbage red boiled;Kapusta czerwona gotowana;100;g;23;1,3;0;3
Warzywa;Salsify raw;Surowy kozibród;100;g;76;1;1;15
Warzywa;Lettuce butterhead raw;Sa³ata mas³owa surowa;100;g;13;1,4;0,4;0,3
Warzywa;Lettuce butterhead boiled;Sa³ata mas³owa gotowana;100;g;22;2;0,4;2
Warzywa;Swiss chard leaf boiled;Liœcie boæwiny gotowane;100;g;29;3;0;3
Warzywa;Beans runner raw;Fasola szparagowa surowa;100;g;22;1,9;0,1;2
Warzywa;Beans French raw;Fasola francuska surowa;100;g;25;2,3;0,2;1,8
Warzywa;Spinach raw;Szpinak surowy;100;g;26;3,2;0,6;0,9
Warzywa;Spinach boiled;Szpinak gotowany;100;g;25;2,9;0,9;0,7
Warzywa;Cabbage oxheart raw;Kapusta serce wo³owe surowe;100;g;42;3;1;4
Warzywa;Cabbage oxheart boiled;Serce wo³owe z kapusty gotowane;100;g;21;1,1;0,6;1,6
Warzywa;Brussel sprouts boiled;Brukselka gotowana;100;g;47;2,3;0,7;5,6
Warzywa;Sweetcorn boiled;Kukurydza gotowana;100;g;74;2,5;1,4;11,6
Warzywa;Bean sprouts raw;Kie³ki fasoli surowe;100;g;25;2,2;0,1;3,2
Warzywa;Bean sprouts boiled;Kie³ki fasoli gotowane;100;g;17;1,8;0,1;1,7
Warzywa;Tomatoes classic round raw;Pomidory klasyczne okr¹g³e surowe;100;g;20;0,7;0,4;2,9
Warzywa;Tomatoes classic round boiled;Pomidory klasyczne okr¹g³e gotowane;100;g;23;0,7;0,7;2,9
Warzywa;Beans broad raw;Fasola szeroka surowa;100;g;51;5;0;4
Warzywa;Onions raw;Cebula surowa;100;g;37;1,3;0,2;6,3
Warzywa;Onions boiled;Cebula gotowana;100;g;35;1;0,2;6,3
Warzywa;Lettuce lambs raw;Sa³ata jagniêca surowa;100;g;18;2,6;0,2;0,5
Warzywa;Chicory raw;Cykoria surowa;100;g;19;1,3;0,2;2,4
Warzywa;Chicory boiled;Cykoria gotowana;100;g;16;1,2;0,2;2
Warzywa;Cabbage white raw;Kapusta bia³a surowa;100;g;30;2;0;4
Warzywa;Cabbage white cooked;Kapusta bia³a gotowana;100;g;16;0,9;0;1,8
Warzywa;Carrot raw av;Marchewka surowa av;100;g;32;0,8;0,3;5,3
Warzywa;Carrot boiled av;Marchewka gotowana av;100;g;32;0,7;0,3;5,2
Warzywa;Cabbage sauerkraut raw;Kapusta kiszona surowa;100;g;13;1,1;0;0,6
Warzywa;Cabbage sauerkraut cooked;Kapusta kiszona gotowana;100;g;14;0,9;0;1
Warzywa;Vegetable mix for soup raw;Mieszanka warzywna na zupê surow¹;100;g;32;1,5;0,2;4,6
Zbo¿a i produkty zbo¿owe;Semolina;Grysik;100;g;337;11;1;70
Zbo¿a i produkty zbo¿owe;Flour rice;M¹ka ry¿owa;100;g;352;7;1;78
Zbo¿a i produkty zbo¿owe;Vermicelli raw;Makaron surowy;100;g;354;12;2;71
Jajka;Egg whole chicken av raw;Jajko ca³e z kurczaka asurowe;100;g;132;12,3;9,1;0,2
